Beds;Host Id;Year;Day;Month;Name;Neighbourhood;Number Of Reviews;Number of Records;Price;Property Type;Review Scores Rating;Room Type;Location
1;6041;2009;5;1;Beautiful Apt. In Astoria;Queens;4;1;44;Apartment;100;Private room;ZIP:11105
1;7118;2009;26;1;PERFECT location! Contact me NOW!;Manhattan;14;1;200;Apartment;87;Entire home/apt;ZIP:10036
2;7222;2009;29;1;SPACIOUS ARTY 1BR NOHO / E. VILLAGE;Manhattan;42;1;175;Apartment;95;Entire home/apt;ZIP:10003
1;7209;2009;29;1;Next to Empire State building;Manhattan;9;1;250;Apartment;100;Entire home/apt;ZIP:10016
2;7230;2009;30;1;Luxury Building, big 1BR - 90th;Manhattan;7;1;165;Apartment;96;Entire home/apt;ZIP:10128
1;7323;2009;2;2;CHEZ LEO Clinton Hill Ft. Greene;Brooklyn;13;1;115;Apartment;88;Entire home/apt;ZIP:11238
1;7299;2009;2;2;Downtown calm, convenience & space;Manhattan;16;1;145;Apartment;95;Entire home/apt;ZIP:10005
1;7322;2009;2;2;Large & Cozy Midtown East 1 BR Apt;Manhattan;47;1;200;Apartment;86;Entire home/apt;ZIP:10016
2;7351;2009;2;2;2 Floor Loft room in Artist Studio;Brooklyn;3;1;74;Loft;80;Private room;ZIP:11215
2;7351;2009;2;2;Spacious Loft Room in Artist Studio;Brooklyn;0;1;74;Loft;None;Private room;ZIP:11215
1;7351;2009;2;2;Spacious room in Huge artist Loft;Brooklyn;2;1;84;Loft;100;Private room;ZIP:11215
;7338;2009;2;2;East Vil  1br in 2br apt + balcony;Manhattan;3;1;125;Apartment;100;Private room;ZIP:10009
1;7386;2009;3;2;Quiet Slice of Manhattan;Manhattan;42;1;129;Apartment;92;Entire home/apt;ZIP:10016
1;7356;2009;3;2;BlissArtsSpace!;Brooklyn;41;1;50;Apartment;90;Private room;ZIP:11216
1;7356;2009;3;2;Private Bliss Art Space 2;Brooklyn;52;1;50;Apartment;93;Private room;ZIP:11216
3;7414;2009;4;2;Historic Fort Greene - Red Rooster;Brooklyn;15;1;185;Apartment;82;Entire home/apt;ZIP:11217
3;7414;2009;4;2;Historic Fort Greene-Deco on Greene;Brooklyn;21;1;185;Apartment;85;Entire home/apt;ZIP:11217
3;7414;2009;4;2;Skylight on Greene;Brooklyn;6;1;150;Apartment;76;Entire home/apt;ZIP:11217
1;7498;2009;6;2;Your own studio+patio no roommates;Manhattan;1;1;80;Apartment;80;Entire home/apt;ZIP:10002
1;7510;2009;6;2;Big Lovely Chelsea Studio! Sleeps 5;Manhattan;8;1;190;Apartment;89;Entire home/apt;ZIP:10010
3;7510;2009;6;2;Grande Super Large APT !!!;Manhattan;10;1;190;Apartment;80;Entire home/apt;ZIP:10010
2;7510;2009;6;2;Great Apartment with PATIO!!;Manhattan;1;1;190;Apartment;80;Entire home/apt;ZIP:10010
2;7510;2009;6;2;Super Large APT;Manhattan;29;1;175;Apartment;80;Entire home/apt;ZIP:10010
2;7510;2009;6;2;HUGE and SUNNY one bedroom!;Manhattan;29;1;190;Apartment;93;Entire home/apt;ZIP:10011
1;7549;2009;7;2;Cute & Cozy Lower East Side 1 bdrm;Manhattan;112;1;140;Apartment;94;Entire home/apt;ZIP:10002
1;7549;2009;7;2;Cute,Cozy Lower East Side 1bdrm;Manhattan;4;1;140;Apartment;95;Entire home/apt;ZIP:10002
1;7549;2009;7;2;LowerEastSide apt share shortterm 2;Manhattan;25;1;75;Apartment;97;Private room;ZIP:10002
1;7549;2009;7;2;LowerEastSide apt share shortterm 1;Manhattan;132;1;45;Apartment;95;Shared room;ZIP:10002
1;7549;2009;7;2;LowerEastSide apt share shortterm 3;Manhattan;17;1;45;Apartment;95;Shared room;ZIP:10002
1;7611;2009;9;2;Artist's Loft with indoor Hammock!;Brooklyn;51;1;135;Apartment;95;Entire home/apt;ZIP:11211
1;7626;2009;9;2;L.E.S. Must See!!;Manhattan;156;1;100;Apartment;86;Entire home/apt;ZIP:10002
1;7612;2009;9;2;Cute Cozy Studio in Manhattan;Manhattan;29;1;145;Apartment;91;Entire home/apt;ZIP:10023
1;7702;2009;10;2;Beautiful 1br on Upper West Side;Manhattan;30;1;135;Apartment;94;Entire home/apt;ZIP:10025
1;7740;2009;11;2;"Cozy Girly Studio; Upper West Side";Manhattan;98;1;200;Apartment;94;Entire home/apt;ZIP:10024
1;7949;2009;15;2;Creative Charm in Brooklyn;Brooklyn;4;1;65;Apartment;100;Private room;ZIP:11238
1;7999;2009;16;2;Sunny Large 1 Bedroom w/ balconies!;Brooklyn;1;1;165;Apartment;100;Entire home/apt;ZIP:11222
1;7987;2009;16;2;Upper West Side-Unique One Bedroom;Manhattan;24;1;145;Apartment;94;Entire home/apt;ZIP:10025
1;7989;2009;16;2;Central Manhattan/near Broadway;Manhattan;74;1;135;Apartment;97;Private room;ZIP:10036
2;8057;2009;17;2;GREAT NEW LOWER EAST SIDE/ SOHO APT;Manhattan;20;1;225;Apartment;89;Entire home/apt;ZIP:10002
3;8057;2009;17;2;HUGE 2 BEDROOM LOFT NOHO/EAST VILL.;Manhattan;32;1;250;Apartment;78;Entire home/apt;ZIP:10003
3;8057;2009;17;2;Ideal Charming Large W Village Apt!;Manhattan;32;1;250;Apartment;85;Entire home/apt;ZIP:10014
2;8057;2009;17;2;HUGE MODERN LUXURY-2bed/2bath+patio;Manhattan;5;1;600;Loft;100;Entire home/apt;ZIP:10009
1;8178;2009;19;2;Location! Location! Location!;Brooklyn;188;1;145;Apartment;90;Entire home/apt;ZIP:11215
3;8178;2009;19;2;Sunny Beautiful Sublet All Yours!!!;Brooklyn;221;1;149;Apartment;92;Entire home/apt;ZIP:11215
1;8198;2009;19;2;Park Slope haven 15 mins from Soho;Brooklyn;39;1;150;Apartment;93;Entire home/apt;ZIP:11217
1;8380;2009;22;2;River view in the Village;Manhattan;57;1;200;Apartment;98;Entire home/apt;ZIP:10014
1;8440;2009;23;2;Beautiful studio by Prospect Park;Brooklyn;0;1;120;Apartment;None;Entire home/apt;ZIP:11218
1;8440;2009;23;2;Luxe 1BD apartment by Prospect Park;Brooklyn;4;1;150;Apartment;95;Entire home/apt;ZIP:11218
1;8425;2009;23;2;Charming W.Village Apt. 8/25-9/15;Manhattan;1;1;175;Apartment;100;Entire home/apt;ZIP:10014
2;8605;2009;25;2;Sunny 1BR East Harlem Apartment;Manhattan;11;1;109;Apartment;91;Entire home/apt;ZIP:10035
6;8730;2009;27;2;Comfort & Convenience;Manhattan;4;1;1990;Condominium;100;Entire home/apt;ZIP:10003
1;8703;2009;27;2;Clean, Safe, Convenient, Comfy;Manhattan;3;1;80;Apartment;100;Shared room;ZIP:10027
1;8967;2009;3;3;Large Furnished Room Near B'way;Manhattan;242;1;73;Apartment;85;Private room;ZIP:10019
3;9744;2009;10;3;Beautiful Apt, Garden #3 Best Area;Brooklyn;67;1;135;Apartment;97;Entire home/apt;ZIP:11215
2;9744;2009;10;3;Gorgeous house Room 2 BEST location;Brooklyn;95;1;89;House;96;Private room;ZIP:11215
2;9744;2009;10;3;Gorgeous Room #1, Best Location;Brooklyn;118;1;89;House;92;Private room;ZIP:11215
2;10176;2009;14;3;Amazing Apt in WILLIAMSBURG, NY!!;Brooklyn;60;1;250;Apartment;96;Entire home/apt;ZIP:11211
1;10151;2009;14;3;Cozy Convenient Apt for Travelers;Queens;0;1;99;Apartment;None;Entire home/apt;ZIP:11358
2;10889;2009;21;3;BnoB (2 br) — Heart of Williamsburg;Brooklyn;132;1;250;Apartment;93;Entire home/apt;ZIP:11249
2;10889;2009;21;3;The Institute—Heart of Williamsburg;Brooklyn;136;1;250;Apartment;94;Entire home/apt;ZIP:11249
2;10889;2009;21;3;Great house in Williamsburg;Brooklyn;14;1;250;House;98;Entire home/apt;ZIP:11211
2;11037;2009;22;3;"Large, Sunny, Central 2br; Terrace";Brooklyn;2;1;240;Apartment;100;Entire home/apt;ZIP:11217
1;11358;2009;25;3;Bright Clean Spacious 1BR;Brooklyn;0;1;115;Apartment;None;Entire home/apt;ZIP:11213
1;11358;2009;25;3;Bright Clean Room in Bushwick;Brooklyn;0;1;72;Apartment;None;Private room;ZIP:11237
1;11481;2009;26;3;House on 11th - Garden Level Apt.;Brooklyn;119;1;165;Apartment;91;Entire home/apt;ZIP:11215
1;11481;2009;26;3;Sunset Retreat - Charming Oasis;Brooklyn;79;1;90;Apartment;90;Entire home/apt;ZIP:11220
1;11481;2009;26;3;Sunset Retreat - Top Floor Oasis;Brooklyn;21;1;105;Apartment;88;Entire home/apt;ZIP:11220
2;11481;2009;26;3;House on Henry (2nd FLR Suite);Brooklyn;68;1;155;Apartment;88;Entire home/apt;ZIP:11231
2;11481;2009;26;3;House on Henry (3rd FLR Suite);Brooklyn;106;1;160;Apartment;94;Entire home/apt;ZIP:11231
1;11810;2009;30;3;NYC Historic District Posh Studio;Queens;0;1;150;Apartment;None;Private room;ZIP:11372
1;12169;2009;3;4;Dream Come True, Too! Williamsburg;Brooklyn;43;1;89;Apartment;94;Private room;ZIP:11211
1;12169;2009;3;4;Dream Come True! Williamsburg, BK;Brooklyn;91;1;99;Apartment;93;Private room;ZIP:11211
3;12221;2009;4;4;5Minutes To Manhattan Cozy Oasis;Bronx;105;1;42;Apartment;81;Private room;ZIP:10451
3;12221;2009;4;4;5Minutes To Manhattan Zen&Cozy;Bronx;96;1;42;Apartment;87;Private room;ZIP:10451
1;12220;2009;4;4;Big Room in front of Central Park;Manhattan;74;1;132;Apartment;88;Private room;ZIP:10025
1;12220;2009;4;4;Your Room in front of Central Park;Manhattan;141;1;117;Apartment;90;Private room;ZIP:10025
1;12712;2009;8;4;Lovely Bklyn Apt with Private Deck;Brooklyn;5;1;135;Apartment;92;Entire home/apt;ZIP:11205
1;12712;2009;8;4;Perfectly Situated LES 1-Bedroom;Manhattan;146;1;125;Apartment;91;Entire home/apt;ZIP:10002
3;12712;2009;8;4;Real 2-Bedroom East Village Apt!;Manhattan;63;1;200;Apartment;87;Entire home/apt;ZIP:10009
1;12869;2009;10;4;Luxury on a Budget;Manhattan;13;1;250;Apartment;92;Entire home/apt;ZIP:10009
2;13070;2009;12;4;Spacious clean & quiet 2 bed/2bath;Manhattan;58;1;295;Bed & Breakfast;83;Entire home/apt;ZIP:10128
1;13424;2009;14;4;An Oasis In Hell's Kitchen!;Manhattan;7;1;280;Apartment;100;Entire home/apt;ZIP:10019
3;13908;2009;18;4;2 BR Upper West Side Apt.;Manhattan;12;1;150;Apartment;66;Entire home/apt;ZIP:10025
3;14063;2009;19;4;BK Heights Apartment for cat lovers;Brooklyn;4;1;125;Apartment;100;Entire home/apt;ZIP:11201
2;14204;2009;20;4;Charming 2 Bedroom Red Hook Loft!;Brooklyn;18;1;230;Apartment;100;Entire home/apt;ZIP:11231
1;14204;2009;20;4;Private room in Red Hook loft!;Brooklyn;21;1;110;Apartment;98;Private room;ZIP:11231
3;15192;2009;28;4;Cozy Furnished 2 Bedroom Apartment;Brooklyn;8;1;159;Apartment;84;Entire home/apt;ZIP:11216
1;15154;2009;28;4;Bright 1 Bedroom, Perfect Location!;Manhattan;2;1;160;Apartment;80;Entire home/apt;ZIP:10023
3;15167;2009;28;4;2 Bed 2 Bath Apt w/ balcony & WiFi;Manhattan;13;1;107;Apartment;98;Entire home/apt;ZIP:10031
1;15261;2009;29;4;Cute room in hip Fort Greene;Brooklyn;1;1;50;Apartment;80;Private room;ZIP:11205
;15523;2009;1;5;Enjoy and discover New York Citi;Staten Island;7;1;69;House;97;Private room;ZIP:10304
1;15742;2009;4;5;Beautiful, private, uptown studio;Manhattan;20;1;110;Apartment;83;Entire home/apt;ZIP:10031
3;15964;2009;6;5;Large Brooklyn Duplex, Park Slope;Brooklyn;0;1;175;Apartment;None;Entire home/apt;ZIP:11215
1;16851;2009;12;5;Hip Whole Apt in Wmsburg, Brooklyn;Brooklyn;8;1;125;Apartment;93;Entire home/apt;ZIP:11211
2;16800;2009;12;5;UES Beautiful Blue Room / Oak Room;Manhattan;150;1;95;Apartment;96;Private room;ZIP:10029
2;16800;2009;12;5;UES Beautiful Home Red Velvet Room;Manhattan;41;1;95;Apartment;95;Private room;ZIP:10029
2;16883;2009;13;5;Spacious Charming Loft Studio;Manhattan;4;1;135;Loft;91;Entire home/apt;ZIP:10024
1;17296;2009;15;5;Bright studio in central Mahattan;Manhattan;5;1;100;Apartment;96;Entire home/apt;ZIP:10016
2;17571;2009;17;5;Perfect for Grandparents + Garden;Brooklyn;80;1;200;House;95;Entire home/apt;ZIP:11205
1;17571;2009;17;5;Perfect for Parents (Part 2);Brooklyn;32;1;239;House;97;Private room;ZIP:11205
1;17655;2009;18;5;Modern LES Studio w/ Skyline Views;Manhattan;17;1;220;Apartment;97;Entire home/apt;ZIP:10002
3;17930;2009;19;5;Charming 2 Bedroom by Prospect Park;Brooklyn;1;1;199;Apartment;100;Entire home/apt;ZIP:11218
3;17798;2009;19;5;EAST VILLAGE DESIGNER LUXURY LOFT;Manhattan;4;1;399;Apartment;100;Entire home/apt;ZIP:10009
2;17985;2009;20;5;Amazing Chinatown/SOHO one bed room;Manhattan;38;1;130;Apartment;86;Entire home/apt;ZIP:10002
1;18118;2009;20;5;Giant & beautiful home in the sky.;Manhattan;0;1;70;Apartment;None;Private room;ZIP:10031
2;18229;2009;21;5;Charming & Sunny Slope Duplex Loft;Brooklyn;0;1;110;Loft;None;Entire home/apt;ZIP:11215
3;18174;2009;21;5;Cosy 2 bedroom in East Village;Manhattan;55;1;160;Apartment;92;Entire home/apt;ZIP:10003
1;18374;2009;22;5;Bright & Modern Downtown Studio;Manhattan;89;1;135;Apartment;96;Entire home/apt;ZIP:10003
2;18611;2009;24;5;East Village sunny & large 2 bdr;Manhattan;5;1;350;Apartment;96;Entire home/apt;ZIP:10003
1;18642;2009;24;5;1 BDR with private toilet/sink;Manhattan;0;1;60;Apartment;None;Private room;ZIP:10031
2;18729;2009;25;5;SPACIOUS, BEAUTIFUL CONDO IN BKLYN!;Brooklyn;9;1;375;Condominium;98;Entire home/apt;ZIP:11215
1;19031;2009;27;5;Charming Greenwich Village Apt;Manhattan;14;1;225;Apartment;81;Entire home/apt;ZIP:10012
1;19852;2009;2;6;Lg Beautiful Garden Apt Sleeps 2;Manhattan;8;1;165;Apartment;97;Entire home/apt;ZIP:10035
1;19969;2009;3;6;SoHo Loft - Entire Floor;Manhattan;52;1;585;Apartment;96;Entire home/apt;ZIP:10013
1;20149;2009;4;6;Cool East Williamsburg Apartment;Brooklyn;46;1;40;Apartment;96;Private room;ZIP:11206
1;20805;2009;9;6;Huge Brooklyn Room with Aussie Host;Brooklyn;12;1;85;Apartment;100;Private room;ZIP:11225
2;21286;2009;12;6;UWS Garden Getaway;Manhattan;9;1;225;Apartment;97;Entire home/apt;ZIP:10024
1;21306;2009;12;6;Large, Bright 1 bdr in Williamsburg;Brooklyn;11;1;110;Apartment;96;Private room;ZIP:11222
1;21475;2009;14;6;High-end doorman bldg in the LES;Manhattan;55;1;125;Apartment;96;Private room;ZIP:10002
5;21823;2009;16;6;Soaring Bushwick 3 Bedroom;Brooklyn;9;1;275;Apartment;98;Entire home/apt;ZIP:11221
1;21904;2009;16;6;Modern 1 BR / NYC / EAST VILLAGE;Manhattan;8;1;240;Apartment;93;Entire home/apt;ZIP:10003
1;22220;2009;18;6;Modern brick 1 bedroom on UES;Manhattan;17;1;175;Apartment;91;Entire home/apt;ZIP:10028
4;22486;2009;20;6;CBG Williamsburg  loft room;Brooklyn;6;1;130;Loft;76;Entire home/apt;ZIP:11211
1;22486;2009;20;6;CBG Partner Prospect Pk Helps Haiti;Brooklyn;0;1;90;Apartment;None;Private room;ZIP:11225
10;22486;2009;20;6;CBG CtyBeGoodHelpsHaiti#1:1-4;Brooklyn;77;1;130;House;91;Private room;ZIP:11217
1;22486;2009;20;6;CommunityBeGood Helps Haiti Rm #2;Brooklyn;39;1;130;House;89;Private room;ZIP:11217
2;22486;2009;20;6;CommunityBeGood Helps Haiti Rm #3;Brooklyn;13;1;130;House;86;Private room;ZIP:11217
2;22486;2009;20;6;CommunityBeGoodHelpsHaiti #5 Suite;Brooklyn;3;1;130;House;100;Private room;ZIP:11217
2;22486;2009;20;6;CommunitybegoodHelpsHaiti#2.5;Brooklyn;17;1;120;House;93;Private room;ZIP:11217
1;23048;2009;24;6;Park Slope Oasis: Your home base!;Brooklyn;18;1;139;Apartment;94;Entire home/apt;ZIP:11215
2;23276;2009;25;6;Luxe, Spacious 2BR 2BA Nr Trains;Brooklyn;3;1;260;Apartment;100;Entire home/apt;ZIP:11215
